bus_number,bus_type,P_demand,Q_demand,voltage_mag,voltage_ang
1,1,0.0,0.0,1.02289646312916,-0.491804108033371
2,1,0.0,0.0,1.0156142764198,-0.223441942292005
3,1,0.0,0.0,1.01283407915916,-0.381565478879092
4,1,19.5750909982102,6.51309223948659,1.00391955980209,-1.83975443852078
5,1,24.1576536263646,6.97697134164602,1.01388715446458,-0.669936390072233
6,1,0.0,0.0,1.01136389059228,-0.416312882870692
7,1,24.8147438716496,2.7230426353681,1.01397731844945,-0.672958801258747
8,2,0.0,0.0,1.01498764006511,-0.45512716895978
9,1,13.9749062834688,5.6150490865095,1.00501664521434,-0.598742864839711
10,1,0.0,0.0,1.01401275769906,-0.337580528295474
11,1,0.0,0.0,1.02203044221077,-0.49088988131891
12,1,0.0,0.0,1.00069023776721,-0.231059950457389
13,3,0.0,0.0,1.01745778485833,0.0
14,1,13.5473799982284,1.60314774098762,1.01434269115686,-0.369971495475707
15,1,25.2984985216043,3.25019498062146,1.01484196584228,-1.54918251608089
16,2,0.0,0.0,1.01319133484912,-0.693831659900761
17,1,4.98590271194704,1.18741745167396,1.00354789912817,-0.893554057871663
18,2,0.0,0.0,1.01865633541152,-0.373211001853838
19,1,8.80166532403868,2.6338383268952,1.01849259529731,0.0701186689554898
20,1,21.2412100923221,0.362267412474919,0.976151618370251,-2.21757140990586
21,1,33.3656938693364,7.49794312643544,1.01540617569482,-0.215345037875468
22,2,0.0,0.0,1.0185286170061,0.0865984922349989
23,1,15.7097670213378,15.1963353813151,1.00520994256083,-0.828261498146732
24,1,23.5995736620906,3.97444695817779,0.959699416270302,-2.06374575716455
25,1,18.1327477243403,2.68644059400231,0.959462511431186,-2.04425525313715
26,1,0.0,0.0,1.00342086424356,-0.898120010913207
27,1,0.0,0.0,1.01384269113775,-0.528382256066402
28,1,0.0,0.0,0.980138382286191,-2.08935951717683
29,1,16.6327197729412,3.06766659508784,0.976550788271498,-2.20486689135845
30,1,0.0,0.0,1.01272819786469,-0.570667735226699
31,1,2.36122706007983,1.20861292895494,1.00842266554444,-0.589013582960393
32,1,0.0,0.0,1.01476087915875,-0.269655858143237
33,2,0.0,0.0,1.01254264589724,-0.42851569827263
34,1,24.2647341100129,5.27287603529205,1.01207184239827,-0.708361400665832
35,2,0.0,0.0,1.01501207770646,-0.115628536428986
36,1,49.4713242306757,5.81566272318138,1.01351484212175,-0.571427236156359
37,2,0.0,0.0,1.01438312830639,-0.388814672995679
38,1,4.79932755814898,1.6935671857152,1.01213452452322,-0.676228781674712
39,1,31.3589063483738,1.91615610616404,1.01490949635968,-0.171666431603051
40,1,64.7157465084519,6.76357781250339,1.01189189807364,-0.738737065274952
41,1,4.80186174812436,1.81848647112949,1.01253605352942,-0.435410099427739
42,2,0.0,0.0,1.01408305040397,0.240527779514508
43,1,0.0,0.0,1.01253579911575,-0.549737240856157
44,1,0.0,0.0,1.01208508928076,-0.685866322629969
45,1,3.00770046549662,0.286967214313415,1.01421583678099,-0.363808680727715
46,1,0.0,0.0,1.01385399842355,-0.487429052862084
47,1,28.8743088227127,9.27641623729305,1.01392360768669,-0.442290363140866
48,1,0.0,0.0,1.01493149889371,-0.264809233580028
49,1,0.0,0.0,1.01349136106416,-0.567402131047039
50,1,9.43664251479929,1.72458614103556,1.01051267120983,-1.32817644378461
51,1,0.0,0.0,1.00837991139332,-0.584178559076127
52,1,0.0,0.0,1.01565481716663,-0.145056058153477
53,1,0.0,0.0,1.01280463716774,-0.511120987563256
54,1,0.0,0.0,1.01088500402784,-0.548117016290599
55,1,0.0,0.0,1.0137562303767,-0.505403473799215
56,1,26.1233664493246,14.4906635829424,1.00609042463613,-0.599289204378035
57,1,74.5117707477341,24.8512789300347,1.01476793779772,-0.274562814202566
